pds3_path,pds4_path,pds3_product_id,pds4_product_id
cl_3008/bi35_00s/bi10s201.img,/data/basemap/10s/200/,bi10s201,basemap_10s_201e
cl_3008/bi35_00s/bi10s207.img,/data/basemap/10s/200/,bi10s207,basemap_10s_207e
cl_3009/bi35_00s/bi10s213.img,/data/basemap/10s/200/,bi10s213,basemap_10s_213e
cl_3009/bi35_00s/bi10s219.img,/data/basemap/10s/200/,bi10s219,basemap_10s_219e
cl_3009/bi35_00s/bi10s225.img,/data/basemap/10s/200/,bi10s225,basemap_10s_225e
cl_3009/bi35_00s/bi10s231.img,/data/basemap/10s/200/,bi10s231,basemap_10s_231e
cl_3009/bi35_00s/bi10s237.img,/data/basemap/10s/200/,bi10s237,basemap_10s_237e
cl_3010/bi35_00s/bi10s243.img,/data/basemap/10s/200/,bi10s243,basemap_10s_243e
cl_3010/bi35_00s/bi10s249.img,/data/basemap/10s/200/,bi10s249,basemap_10s_249e
cl_3010/bi35_00s/bi10s255.img,/data/basemap/10s/200/,bi10s255,basemap_10s_255e
cl_3010/bi35_00s/bi10s261.img,/data/basemap/10s/200/,bi10s261,basemap_10s_261e
cl_3010/bi35_00s/bi10s267.img,/data/basemap/10s/200/,bi10s267,basemap_10s_267e
cl_3011/bi35_00s/bi10s273.img,/data/basemap/10s/200/,bi10s273,basemap_10s_273e
cl_3011/bi35_00s/bi10s279.img,/data/basemap/10s/200/,bi10s279,basemap_10s_279e
cl_3011/bi35_00s/bi10s285.img,/data/basemap/10s/200/,bi10s285,basemap_10s_285e
cl_3011/bi35_00s/bi10s291.img,/data/basemap/10s/200/,bi10s291,basemap_10s_291e
cl_3011/bi35_00s/bi10s297.img,/data/basemap/10s/200/,bi10s297,basemap_10s_297e
cl_3012/bi35_00s/bi10s303.img,/data/basemap/10s/300/,bi10s303,basemap_10s_303e
cl_3012/bi35_00s/bi10s309.img,/data/basemap/10s/300/,bi10s309,basemap_10s_309e
cl_3012/bi35_00s/bi10s315.img,/data/basemap/10s/300/,bi10s315,basemap_10s_315e
cl_3012/bi35_00s/bi10s321.img,/data/basemap/10s/300/,bi10s321,basemap_10s_321e
cl_3012/bi35_00s/bi10s327.img,/data/basemap/10s/300/,bi10s327,basemap_10s_327e
cl_3013/bi35_00s/bi10s333.img,/data/basemap/10s/300/,bi10s333,basemap_10s_333e
cl_3013/bi35_00s/bi10s339.img,/data/basemap/10s/300/,bi10s339,basemap_10s_339e
cl_3013/bi35_00s/bi10s345.img,/data/basemap/10s/300/,bi10s345,basemap_10s_345e
cl_3013/bi35_00s/bi10s351.img,/data/basemap/10s/300/,bi10s351,basemap_10s_351e
cl_3013/bi35_00s/bi10s357.img,/data/basemap/10s/300/,bi10s357,basemap_10s_357e
cl_3002/bi00_35n/bi17n003.img,/data/basemap/17n/000/,bi17n003,basemap_17n_003e
cl_3002/bi00_35n/bi17n009.img,/data/basemap/17n/000/,bi17n009,basemap_17n_009e
cl_3002/bi00_35n/bi17n015.img,/data/basemap/17n/000/,bi17n015,basemap_17n_015e
cl_3002/bi00_35n/bi17n021.img,/data/basemap/17n/000/,bi17n021,basemap_17n_021e
cl_3002/bi00_35n/bi17n027.img,/data/basemap/17n/000/,bi17n027,basemap_17n_027e
cl_3003/bi00_35n/bi17n033.img,/data/basemap/17n/000/,bi17n033,basemap_17n_033e
cl_3003/bi00_35n/bi17n039.img,/data/basemap/17n/000/,bi17n039,basemap_17n_039e
cl_3003/bi00_35n/bi17n045.img,/data/basemap/17n/000/,bi17n045,basemap_17n_045e
cl_3003/bi00_35n/bi17n051.img,/data/basemap/17n/000/,bi17n051,basemap_17n_051e
