dropped_product,retained_product
ahd0419a.023,ahd0418a.023
anf0421b.023,anf0420b.023
auc0422b.023,auc0423b.023
ana0425b.023,ana0424b.023
aub0427b.023,aub0426b.023
ala0429a.023,ala0428a.023
ane0431b.023,ane0430b.023
aua0433b.023,aua0432b.023
aaa0435a.023,aaa0434a.023
aha0437a.023,aha0436a.023
anc0439b.023,anc0438b.023
aba0441a.023,aba0440a.023
ahb0443a.023,ahb0442a.023
and0444b.023,and0445b.023
aue0446b.023,aue0447b.023
ahc0449a.023,ahc0448a.023
anb0451b.023,anb0450b.023
aud0452b.023,aud0453b.023
ahd0455a.023,ahd0454a.023
anf0457b.023,anf0456b.023
auc0459b.023,auc0458b.023
ana0461b.023,ana0460b.023
aub0463b.023,aub0462b.023
ala0121a.026,ala0120a.026
anb0123a.026,anb0122a.026
auf0125a.026,auf0124a.026
aaa0127a.026,aaa0126a.026
ahf0129a.026,ahf0128a.026
anf0131a.026,anf0130a.026
aba0133a.026,aba0132a.026
ana0135a.026,ana0136a.026
aud0138a.026,aud0137a.026
ahb0139a.026,ahb0140a.026
ane0142a.026,ane0141a.026
auc0143a.026,auc0144a.026
anc0147a.026,anc0146a.026
aub0149a.026,aub0148a.026
and0151a.026,and0150a.026
aua0153a.026,aua0152a.026
ala0155a.026,ala0154a.026
anb0156a.026,anb0157a.026
auf0159a.026,auf0158a.026
ahf0161a.026,ahf0162a.026
anf0164a.026,anf0163a.026
aba0166a.026,aba0165a.026
ana0168a.026,ana0169a.026
aud0170a.026,aud0171a.026
ahb0173a.026,ahb0172a.026
ane0175a.026,ane0174a.026
auc0176a.026,auc0177a.026
anc0179a.026,anc0180a.026
aub0182a.026,aub0181a.026
and0184a.026,and0183a.026
aua0185a.026,aua0186a.026
anb0189a.026,anb0188a.026
auf0191a.026,auf0190a.026
aaa0192a.026,aaa0193a.026
anf0196a.026,anf0195a.026
aba0197a.026,aba0198a.026
ana0201a.026,ana0200a.026
aud0203a.026,aud0202a.026
ahb0205a.026,ahb0204a.026
ane0207a.026,ane0206a.026
auc0209a.026,auc0208a.026
ahc0211a.026,ahc0210a.026
anc0213a.026,anc0212a.026
aub0215a.026,aub0214a.026
and0217a.026,and0216a.026
aua0219a.026,aua0218a.026
anb0222a.026,anb0221a.026
aaa0225a.026,aaa0224a.026
anf0227a.026,anf0228a.026
aba0230a.026,aba0229a.026
aha0232a.026,aha0231a.026
ana0234b.026,ana0233b.026
aud0236a.026,aud0235a.026
ahb0238a.026,ahb0237a.026
ane0240b.026,ane0239b.026
auc0242a.026,auc0241a.026
ahc0244a.026,ahc0243a.026
anc0246b.026,anc0245b.026
aub0248a.026,aub0247a.026
and0250b.026,and0249b.026
aua0252a.026,aua0251a.026
ala0253a.026,ala0254a.026
anb0256b.026,anb0255b.026
auf0258a.026,auf0257a.026
aaa0260a.026,aaa0259a.026
ahf0262a.026,ahf0261a.026
anf0264b.026,anf0263b.026
aba0266a.026,aba0265a.026
ana0269b.026,ana0268b.026
aud0271a.026,aud0270a.026
ahb0273a.026,ahb0272a.026
ane0275b.026,ane0274b.026
auc0277a.026,auc0276a.026
ahc0279a.026,ahc0278a.026
anc0281b.026,anc0280b.026
aub0283a.026,aub0282a.026
and0285b.026,and0284b.026
aua0286a.026,aua0287a.026
ala0289a.026,ala0288a.026
anb0291b.026,anb0290b.026
auf0293a.026,auf0292a.026
aaa0295a.026,aaa0294a.026
ahf0297a.026,ahf0296a.026
anf0298b.026,anf0299b.026
aba0301a.026,aba0300a.026
aha0303a.026,aha0302a.026
ana0305b.026,ana0304b.026
aud0307a.026,aud0306a.026
ahb0309a.026,ahb0308a.026
ane0310b.026,ane0311b.026
auc0312a.026,auc0313a.026
ahc0315a.026,ahc0314a.026
anc0317b.026,anc0316b.026
aub0319a.026,aub0318a.026
and0321b.026,and0320b.026
aua0323a.026,aua0322a.026
ala0325a.026,ala0324a.026
anb0327b.026,anb0326b.026
auf0329a.026,auf0328a.026
aaa0331a.026,aaa0330a.026
ahf0332a.026,ahf0333a.026
anf0335b.026,anf0334b.026
aba0337a.026,aba0336a.026
ana0340b.026,ana0339b.026
aud0342a.026,aud0341a.026
ahb0344a.026,ahb0343a.026
ane0346b.026,ane0345b.026
auc0348a.026,auc0347a.026
ahc0350a.026,ahc0349a.026
anc0351b.026,anc0352b.026
aub0354a.026,aub0353a.026
and0356b.026,and0355b.026
aua0357a.026,aua0358a.026
ala0360a.026,ala0359a.026
anb0362b.026,anb0361b.026
auf0364a.026,auf0363a.026
aaa0366a.026,aaa0365a.026
anf0369b.026,anf0368b.026
aba0371a.026,aba0370a.026
aha0373a.026,aha0372a.026
ana0375b.026,ana0374b.026
aud0377a.026,aud0376a.026
ahb0379a.026,ahb0378a.026
ane0381b.026,ane0380b.026
auc0383a.026,auc0382a.026
ahc0385a.026,ahc0384a.026
anc0387b.026,anc0386b.026
aub0389a.026,aub0388a.026
and0391b.026,and0390b.026
aua0393a.026,aua0392a.026
ala0737b.026,ala0736b.026
anb0739c.026,anb0738c.026
aua0741b.026,aua0740b.026
aaa0743a.026,aaa0742a.026
anf0746c.026,anf0745c.026
aba0748a.026,aba0747a.026
ana0751c.026,ana0750c.026
ane0755c.026,ane0754c.026
aud0756b.026,aud0757b.026
ahc0759b.026,ahc0758b.026
anc0761c.026,anc0760c.026
auc0763b.026,auc0762b.026
and0765c.026,and0764c.026
aub0766b.026,aub0767b.026
ala0769b.026,ala0768b.026
anb0771c.026,anb0770c.026
aua0773b.026,aua0772b.026
aaa0775a.026,aaa0774a.026
anf0778c.026,anf0777c.026
aba0780a.026,aba0779a.026
ana0783d.026,ana0782d.026
aue0785b.026,aue0784b.026
ahb0787b.026,ahb0786b.026
ane0788d.026,ane0789d.026
aud0791b.026,aud0790b.026
ahc0792b.026,ahc0793b.026
anc0795d.026,anc0794d.026
auc0797b.026,auc0796b.026
and0799d.026,and0798d.026
aub0801b.026,aub0800b.026
ala0802b.026,ala0803b.026
anb0805d.026,anb0804d.026
aua0807b.026,aua0806b.026
aaa0809a.026,aaa0808a.026
ahf0811b.026,ahf0810b.026
anf0813d.026,anf0812d.026
aba0815a.026,aba0814a.026
aha0817b.026,aha0816b.026
ana0819d.026,ana0818d.026
aue0821b.026,aue0820b.026
ahb0823b.026,ahb0822b.026
ane0825d.026,ane0824d.026
aud0827b.026,aud0826b.026
ahc0829b.026,ahc0828b.026
anc0831d.026,anc0830d.026
auc0833b.026,auc0832b.026
and0835d.026,and0834d.026
aub0837b.026,aub0836b.026
ala0839b.026,ala0838b.026
anb0841d.026,anb0840d.026
aua0843b.026,aua0842b.026
aaa0845a.026,aaa0844a.026
ahf0847b.026,ahf0846b.026
anf0849d.026,anf0848d.026
aba0851a.026,aba0850a.026
ana0854d.026,ana0853d.026
aue0856b.026,aue0855b.026
ahb0857b.026,ahb0858b.026
ane0860d.026,ane0859d.026
aud0861b.026,aud0862b.026
ahc0864b.026,ahc0863b.026
anc0866d.026,anc0865d.026
auc0868b.026,auc0867b.026
and0870d.026,and0869d.026
aub0872b.026,aub0871b.026
ala0874b.026,ala0873b.026
anb0875d.026,anb0876d.026
aua0878b.026,aua0877b.026
aaa0880a.026,aaa0879a.026
anf0883d.026,anf0882d.026
aba0885a.026,aba0884a.026
ana0887d.026,ana0888d.026
aue0890b.026,aue0889b.026
ahb0892b.026,ahb0891b.026
ane0894d.026,ane0893d.026
aud0896b.026,aud0895b.026
ahc0898b.026,ahc0897b.026
anc0900d.026,anc0899d.026
auc0901b.026,auc0902b.026
aub0904b.026,aub0905b.026
ala0907b.026,ala0906b.026
anb0909d.026,anb0908d.026
aua0911b.026,aua0910b.026
aaa0913a.026,aaa0912a.026
anf0916d.026,anf0915d.026
aba0918a.026,aba0917a.026
aha0920b.026,aha0919b.026
ana0921d.026,ana0922d.026
aue0923b.026,aue0924b.026
ahb0926b.026,ahb0925b.026
ane0928d.026,ane0927d.026
aud0930b.026,aud0929b.026
ahc0932b.026,ahc0931b.026
anc0934d.026,anc0933d.026
auc0936b.026,auc0935b.026
aub0939b.026,aub0938b.026
ala1713c.026,ala1714c.026
anb1716f.026,anb1715f.026
aud1718c.026,aud1717c.026
aaa1720a.026,aaa1719a.026
aha1723g.026,aha1722g.026
ana1725f.026,ana1724f.026
aub1727c.026,aub1726c.026
ahb1729g.026,ahb1728g.026
ane1731f.026,ane1730f.026
aua1733c.026,aua1732c.026
anc1735f.026,anc1734f.026
auf1736c.026,auf1737c.026
ala1738c.026,ala1739c.026
and1741f.026,and1740f.026
aue1743c.026,aue1742c.026
aaa1745a.026,aaa1744a.026
anb1747f.026,anb1746f.026
ahf1748g.026,ahf1749g.026
auc1751c.026,auc1752c.026
aha1754g.026,aha1753g.026
ana1756f.026,ana1755f.026
aub1758c.026,aub1757c.026
ane1759f.026,ane1760f.026
aua1761c.026,aua1762c.026
ala2623d.026,ala2622d.026
anc2625g.026,anc2624g.026
aud2627d.026,aud2626d.026
aaa2629a.026,aaa2628a.026
ahd2632l.026,ahd2631l.026
anb2634g.026,anb2633g.026
aub2635d.026,aub2636d.026
ahe2638l.026,ahe2637l.026
anf2640g.026,anf2639g.026
aua2641d.026,aua2642d.026
auf2645d.026,auf2644d.026
ala2647d.026,ala2646d.026
ane2649g.026,ane2648g.026
aue2651d.026,aue2650d.026
aaa2653a.026,aaa2652a.026
ahc2656l.026,ahc2655l.026
and2658g.026,and2657g.026
auc2660d.026,auc2659d.026
